"","area","iso_code","area_name","date","people_vaccinated","population","mortality_rate","vax","annual_passengers","tests_per_day","r_d_D","I","IV","E","EV","SV","S"
"12",1,"URY","Uruguay","2021-06-01",1851298,3485152,0.0145701764394005,0.531195769940594,642027,10197.4722222222,3.46803572026196,6072.93934880216,6881.16592459225,8755.5893864084,34405.8296229612,1810011.00445245,1619025.47126479
"13",1,"USA","United States","2021-06-01",173577507,332915074,0.0177956004495199,0.521386745617893,369501000,1351115.47777778,3.45582050572105,28698.8165279551,31263.6192491432,41522.4350923966,156318.096245716,173389925.284505,159267345.74838
"14",1,"QAT","Qatar","2021-06-01",1479717,2930524,0.01,0.504932564961079,10640789,16324.0769230769,3.43964578233525,388.494816693851,396.23629102546,564.730849160423,1981.1814551273,1477339.58225385,1449853.77433415
"15",1,"ISL","Iceland","2021-06-01",171376,368792,0.00456204379562044,0.46469554654114,903927,957.312849162011,3.47161333981967,5.30936332282452,4.60903598904028,7.64682411765982,23.0451799452014,171348.345784066,197403.04381256
"16",1,"FIN","Finland","2021-06-01",2469560,5548361,0.0104989985570607,0.44509720978862,3500299,16816.6666666667,3.46690006942097,234.152483011233,187.817792038271,337.697191038939,939.088960191354,2468433.09324777,3078229.15032595
"17",1,"DEU","Germany","2021-06-01",36670391,83900471,0.0240409455096092,0.437070144695612,25758450,0,3.5,8539.64646789742,6630.35453210258,12199.4949541392,33151.7726605129,36630608.8728074,47209340.858578
"18",1,"IRL","Ireland","2021-06-01",2131105,4982904,0.0188314658129431,0.427683334858548,54582262,17036.8,3.46270661919055,811.956744204397,606.762635570639,1172.43075070882,3033.81317785319,2127464.42418658,2849814.61250509
"19",1,"MCO","Monaco","2021-06-01",16502,39520,0.0131683958499601,0.417560728744939,104255,0,3.5,1.16400488360324,0.834495116396761,1.6628641194332,4.1724755819838,16496.9930293016,23015.173130997
"20",1,"SGP","Singapore","2021-06-01",2266229,5453600,0.01,0.415547344873111,7884373,0,3.5,52.3076359548739,37.1908640451262,74.7251942212484,185.954320225631,2266005.85481573,3187243.96716982
"21",1,"BEL","Belgium","2021-06-01",4820232,11632334,0.0234772200067889,0.414382186756329,3520849.848,44790.0444444444,3.45805720603945,3709.40383652939,2624.76796057395,5363.42173583909,13123.8398028698,4804483.39223656,6803029.17442763
"22",1,"AUT","Austria","2021-06-01",3694349,9043072,0.0164534869302118,0.408528097531458,13285414,223792.396551724,3.24689099265661,826.887834766405,571.129266832744,1273.35324258891,2855.64633416372,3690922.224399,5346622.75892264
"23",1,"ITA","Italy","2021-06-01",24149341,60367471,0.0299080350609814,0.400038971319504,7801490,245436.54494382,3.45574236955678,6638.14804468116,4426.15068032195,9604.51812490373,22130.7534016097,24122784.0959181,36201887.3338304
"24",1,"FRA","France","2021-06-01",26827672,67422000,0.0184044426530401,0.397906796001305,24956343,325373.583333333,3.44759087186797,20236.6918116323,13373.8715982085,29349.0332289164,66869.3579910423,26747428.7704107,40544742.2749594
"25",1,"ESP","Spain","2021-06-01",18426204,46745211,0.0217181160526103,0.394183780665788,26557078,140644.127777778,3.46714008599033,8971.62139217479,5837.52551715449,12938.0716810757,29187.6275857724,18391178.8468971,28297097.3069267
"26",1,"NLD","Netherlands","2021-06-01",6761007,17173094,0.0106596487627625,0.393697664497731,14748517.33,51463.1166666667,3.46727001886143,6063.68676693624,3937.40742629823,8744.18019645237,19687.0371314911,6737382.55544221,10397279.1330366
"27",1,"PRT","Portugal","2021-06-01",3945309,10167923,0.0200403042594916,0.388015231822664,6219531.061,39763.7944444444,3.45740909239283,1117.79068077113,708.710139012712,1616.51492620666,3543.55069506356,3941056.73916592,6219879.69439302
"28",1,"DNK","Denmark","2021-06-01",2172682,5813302,0.00891771669590799,0.373743184166245,14041322.8,141780,3.25029597075612,2014.58264638991,1202.28078001102,3099.07569113045,6011.4039000551,2165468.31531993,3635506.34166248
"29",1,"SWE","Sweden","2021-06-01",3787569,10160159,0.0135249089120642,0.372786390449205,14041322.8,38222.7888888889,3.45900941044823,1270.11033171815,754.89408843114,1835.94518112856,3774.4704421557,3783039.63546941,6369483.94448716
"30",1,"CZE","Czechia","2021-06-01",3982014,10724553,0.0181245411546655,0.371298831755505,1358558.181,127128.472222222,3.37401434267548,909.711521287477,537.258147669302,1348.11448454915,2686.29073834651,3978790.45111398,6740281.17399416
"31",1,"LUX","Luxembourg","2021-06-01",232376,634814,0.0116742637497678,0.36605367871534,753114,8400.40555555556,3.35994566196375,122.932273937914,70.983629996662,182.937889933114,354.91814998331,231950.09822002,402132.129836129
"32",1,"CHE","Switzerland","2021-06-01",3183577,8715494,0.0154019577395125,0.365277860325531,9009607.2,27026.2277777778,3.46614284707211,1688.68506397857,971.825667291412,2435.97153736036,4859.12833645706,3177746.04599625,5527792.34339866
"33",1,"EST","Estonia","2021-06-01",478058,1325188,0.00970125082900196,0.360747305288004,914519,5197.12222222222,3.45728978354574,266.787815676544,150.555463254397,385.833748947319,752.777316271983,477154.667220474,846477.378435376
"34",1,"GRC","Greece","2021-06-01",3698975,10370747,0.0299928494196648,0.356673921367477,5647917,38293.9360465116,3.45975830341792,3364.0672416236,1865.11179115304,4861.70845850738,9325.55895576518,3687784.32925308,6663546.22429987
