area,t,S,SV,E,EV,I,IV,H,D,R,W,V,t_n,L
area1,27,31668.34763643582,66530.75570250253,268.458397236886,283.600291234112,159.7328869900084,149.09010070431336,138.3453091941311,8.507009598433154,793.1626661037561,31668.347636435847,1000.0,47.58102291200632,5
area1,28,30603.546956978487,67449.07342042404,279.56739724684843,308.56251506579315,167.64975327977191,163.08525970219998,149.26346280430317,9.429312120878391,869.8219223776882,30603.546956978505,1000.0,47.58102291200632,5
area1,29,29536.84645321282,68360.87017034991,290.35442156315014,335.0532621267734,175.51967528200407,178.06225675723945,160.73595343642666,10.424402370451954,952.1334049012478,29536.846453212835,1000.0,47.58102291200632,5
area1,30,28468.40430140323,69265.82755851024,300.72568906011054,363.08522154109676,183.2917107293949,194.04543020141526,172.76399435621502,11.495975929147976,1040.3601182691814,28468.404301403243,1000.0,47.58102291200632,5
area1,31,27398.40192078064,70163.63483762104,310.5829318706801,392.66089812206263,190.9107597059836,211.05468153138486,185.34538457103503,12.647736467402725,1134.7608493297898,27398.401920780652,1000.0,47.58102291200632,5
area1,32,26327.04406239233,71053.99209130551,319.8242038848508,423.77146481318056,198.3178587604162,229.10471001466692,198.4741882885338,13.883372982360907,1235.5880475581669,26327.044062392346,1000.0,47.58102291200632,5
area1,33,25254.558610373635,71936.61361032758,328.344815126575,456.39565282847303,205.4505524345551,248.2042371236899,212.14042812904995,15.206534899198427,1343.0855587572576,25254.55861037365,1000.0,47.58102291200632,5
area1,34,24181.196071402577,72811.23143198456,336.0383910723171,490.49870060579855,212.2433451981472,268.3552312526116,226.32979739313183,16.62080512719352,1457.4862259636764,24181.19607140259,1000.0,47.58102291200632,5
area1,35,23107.228731783776,73677.59900782762,342.7980524766551,526.0313846415727,218.6282357358324,289.5521443984791,241.02339703859042,18.12967119758039,1579.0093748999013,23107.22873178379,1000.0,47.58102291200632,5
area1,36,22032.94946621977,74535.49495875246,348.51770754533027,562.9291567884235,224.53533408811018,311.78117375437705,256.1975033140163,19.73649464791565,1707.85820488961,22032.949466219783,1000.0,47.58102291200632,5
